Isimler,Soyisimler,TelefonTuru,Departman,Sehir,DogumTarihi,Maas,Telefon,mail,calisanid
SEMİH,KULAÇ,Türk Telekom,İnsan Kaynakları,İstanbul,15 Ocak 1987,5051,5077672320,semih_kulaç@yahoo.com,0019
ERGÜN,KAYA,Türk Telekom,Yönetim,İstanbul,28 Kasım 1979,10187,5568739280,kayaergün@outlook.com,0020
FATİH,SELVİ,Türk Telekom,Yazılım Geliştirme,Ankara,20 Mart 1996,5025,5523976590,selvi.fatih@yandex.com,0021
ŞENAY,AKPINAR,Vodafone,Yazılım Geliştirme,Bursa,21 Ocak 1973,18123,5486027063,akpinar.şenay@hotmail.com,0022
SERKAN,ABACIOĞLU,Türk Telekom,Yazılım Geliştirme,Ankara,12 Ağustos 1969,18616,5074238056,serkan.abacioğlu@yandex.com,0023
EMRE,ÇAY,Türk Telekom,Yazılım Geliştirme,Bursa,08 Haziran 1984,7511,5074692311,çayemre@hotmail.com,0024
BAHATTİN,IŞIK,Türk Telekom,İnsan Kaynakları,İstanbul,27 Kasım 1980,12738,5535671853,bahattin.işik@yahoo.com,0025
IRAZCA,ÖZER,Türkcell,Yazılım Geliştirme,İstanbul,30 Mart 1995,3063,5391353368,irazca.özer@gmail.com,0026
HATİCE,ÖZDEMİR,Türk Telekom,Yazılım Geliştirme,Kocaeli,07 Nisan 1992,4995,5062167578,özdemirhatice@gmail.com,0027
BARIŞ,ÖZTÜRK,Türk Telekom,Mali İşler,Ankara,24 Ocak 1993,4011,5516805719,barişöztürk@yandex.com,0028
REZAN,TAHTACI,Vodafone,Müşteri İlişkileri ve Satış,Ankara,31 Mayıs 1989,4753,5425917922,rezan_tahtaci@yandex.com,0029
FATİH,BÜYÜKCAM,Vodafone,Mali İşler,İstanbul,01 Eylül 1983,9039,5495614816,büyükcamfatih@yandex.com,0030
FUAT,KULAKSIZ,Vodafone,Müşteri İlişkileri ve Satış,İstanbul,14 Temmuz 1988,5312,5461400478,fuat.kulaksiz@hotmail.com,0031
GÖKHAN,AKSEL,Türk Telekom,Yazılım Geliştirme,İstanbul,20 Mart 1993,6918,5061178403,aksel.gökhan@hotmail.com,0032
ORHAN,EROĞLU,Türkcell,Yazılım Geliştirme,İstanbul,06 Eylül 1989,4585,5328596381,orhaneroğlu@yandex.com,0033
MEHMET,KARAKUM,Vodafone,Mali İşler,Ankara,02 Mayıs 1976,12791,5427209986,karakummehmet@yandex.com,0034
EVREN,DAL,Türk Telekom,Mali İşler,İstanbul,26 Ocak 1989,5922,5535267795,evrendal@gmail.com,0035
OKTAY,ÖCAL,Türk Telekom,Yazılım Geliştirme,İstanbul,19 Temmuz 1987,5566,5512784650,oktay.öcal@yandex.com,0036
HARUN,AYHAN,Vodafone,Yazılım Geliştirme,İstanbul,19 Haziran 1980,9104,5478345983,ayhan.harun@hotmail.com,0037
YAVUZ,YİĞİT,Türk Telekom,Yazılım Geliştirme,Bursa,03 Kasım 1979,9117,5074450507,yiğityavuz@yahoo.com,0038
PINAR,YARBİL,Vodafone,Müşteri İlişkileri ve Satış,Ankara,03 Nisan 1986,9376,5441028978,pinar.yarbil@gmail.com,0039
MEHMET,CANACANKATAN,Türk Telekom,Müşteri İlişkileri ve Satış,Kocaeli,05 Ocak 1992,3173,5079043293,canacankatan.mehmet@yandex.com,0040
UMUT,GÜMÜŞAY,Türkcell,Müşteri İlişkileri ve Satış,Bursa,29 Aralık 1989,5083,5315426237,umutgümüşay@yandex.com,0041
MESUDE,MURT,Vodafone,Mali İşler,Ankara,07 Şubat 1988,7499,5472526437,mesude.murt@hotmail.com,0042
HÜSEYİN,HALHALLI,Türk Telekom,Yazılım Geliştirme,İstanbul,04 Eylül 1986,7868,5537506828,hüseyinhalhalli@gmail.com,0043
HAŞİM,ULUÖZ,Türkcell,Müşteri İlişkileri ve Satış,Ankara,25 Temmuz 1997,3851,5392892215,haşim.uluöz@yandex.com,0044
EYYUP,ŞEYHANLI,Vodafone,Müşteri İlişkileri ve Satış,İstanbul,08 Şubat 1976,12834,5479102728,eyyup.şeyhanli@hotmail.com,0045
MUSTAFA,ÇALIŞKANTÜRK,Türk Telekom,Yazılım Geliştirme,Kocaeli,06 Mayıs 1992,6715,5073063528,mustafa_çalişkantürk@yandex.com,0046
MUSTAFA,YILMAZ,Vodafone,Yazılım Geliştirme,İstanbul,17 Mart 1981,11330,5479372624,mustafa.yilmaz@yandex.com,0047
UFUK,SARAÇOĞLU,Vodafone,Mali İşler,Ankara,03 Şubat 1975,8939,5444743132,ufuk.saraçoğlu@hotmail.com,0048
AHMET,SEZER,Sabit,Mali İşler,Ankara,09 Ekim 1983,6809,3126539766,ahmet.sezer@yahoo.com,0049
MEDİHA,DOĞAN,Türk Telekom,Yazılım Geliştirme,Kocaeli,27 Ağustos 1983,9196,5522059726,doğan_mediha@gmail.com,0050
HASAN,DEMİR,Vodafone,Yazılım Geliştirme,Kocaeli,25 Kasım 1970,18763,5464301230,hasan.demir@yandex.com,0051
KAMİL,KAYAYURT,Vodafone,Yazılım Geliştirme,İstanbul,09 Ağustos 1988,7345,5499772458,kamil.kayayurt@outlook.com,0052
NEBİ,SÜRÜM,Vodafone,Yazılım Geliştirme,Ankara,14 Aralık 1986,8092,5422545497,sürüm.nebi@yahoo.com,0053
ÖZCAN,YAVAŞİ,Türk Telekom,Yazılım Geliştirme,Ankara,18 Temmuz 1975,11583,5537974202,yavaşiözcan@yandex.com,0054
NAGİHAN,TURGUT,Türkcell,Yazılım Geliştirme,Kocaeli,16 Ağustos 1996,5223,5341510868,nagihan.turgut@outlook.com,0055
CEREN,ŞEN,Vodafone,Mali İşler,Ankara,16 Kasım 1989,4442,5494171245,ceren.şen@yahoo.com,0056
SERKAN,BARBAROS,Sabit,Yazılım Geliştirme,Bursa,21 Mayıs 1985,9526,2257755814,barbaros.serkan@hotmail.com,0057
HASAN,ALDİNÇ,Sabit,Yazılım Geliştirme,Ankara,13 Temmuz 1992,4789,3134246897,aldinç.hasan@yandex.com,0058
YUSUF,TEKİN,Türk Telekom,Yazılım Geliştirme,İstanbul,02 Ocak 1987,7337,5065192902,yusuf.tekin@hotmail.com,0059
ÇETİN,GÜLŞAN,Türk Telekom,Mali İşler,İstanbul,02 Şubat 1984,7767,5552280258,çetin_gülşan@hotmail.com,0060
TARKAN,KÜFECİLER,Türk Telekom,Yazılım Geliştirme,Ankara,07 Eylül 1988,5316,5549575582,tarkanküfeciler@gmail.com,0061
MERAL,ALMACIOĞLU,Vodafone,Yazılım Geliştirme,İstanbul,08 Mayıs 1974,12502,5481888243,meral_almacioğlu@yandex.com,0062
ERGÜN,ÇİLDİR,Türkcell,Mali İşler,İstanbul,23 Ocak 1995,3588,5348538596,ergün.çildir@outlook.com,0063
KENAN,TÜRKDOĞAN,Türk Telekom,Müşteri İlişkileri ve Satış,İstanbul,07 Kasım 1979,11148,5562444642,kenan.türkdoğan@yahoo.com,0064
URAL,KAYA,Türk Telekom,Müşteri İlişkileri ve Satış,Bursa,20 Temmuz 1986,8654,5066229661,uralkaya@hotmail.com,0065
YAHYA,ÖNER,Vodafone,Yazılım Geliştirme,Bursa,22 Ekim 1982,11496,5467992539,yahyaöner@yandex.com,0066
BENGÜ,ŞELİMAN,Vodafone,Yazılım Geliştirme,İstanbul,04 Ağustos 1991,6871,5476423939,bengü.şeliman@yandex.com,0067
FATİH,YAMAN,Vodafone,Yazılım Geliştirme,İstanbul,02 Kasım 1991,7542,5413691821,fatih.yaman@yandex.com,0068
DİLEK,ATİK,Vodafone,Yönetim,İstanbul,08 Nisan 1975,16678,5432142766,atikdilek@hotmail.com,0069
MEHMET,YİĞİT,Vodafone,Mali İşler,İstanbul,17 Şubat 1992,4333,5474990325,yiğitmehmet@yandex.com,0070
TUFAN,GİRAY,Türk Telekom,Yazılım Geliştirme,Ankara,04 Kasım 1991,7105,5514960236,giraytufan@yandex.com,0071
MEHMET,YALÇINKAYA,Türk Telekom,Yazılım Geliştirme,İstanbul,01 Aralık 1982,9583,5544419078,yalçinkaya.mehmet@gmail.com,0072
TURGAY,KILIÇ,Sabit,Yazılım Geliştirme,İstanbul,17 Mart 1984,8166,2139867117,turgaykiliç@hotmail.com,0073
GÜLDEHEN,ŞENTÜRK,Vodafone,Yazılım Geliştirme,Bursa,26 Temmuz 1986,9162,5476386534,güldehen.şentürk@yandex.com,0074
GÖKMEN,KARABAĞ,Vodafone,Müşteri İlişkileri ve Satış,Ankara,19 Aralık 1975,14761,5443411413,karabağ.gökmen@yandex.com,0075
BÜLENT,DEĞİRMENCİ,Vodafone,Yazılım Geliştirme,Bursa,16 Ağustos 1979,10565,5473900304,bülent_değirmenci@yandex.com,0076
EROL,BODUROĞLU,Türk Telekom,Mali İşler,İstanbul,13 Eylül 1981,9168,5546070082,erol_boduroğlu@gmail.com,0077
BAHRİ,YILDIZ,Türk Telekom,Mali İşler,Ankara,02 Aralık 1989,4428,5568513854,bahriyildiz@yandex.com,0078
ÖZEN,GÜLER,Türk Telekom,Yazılım Geliştirme,İstanbul,12 Ağustos 1996,4452,5526218790,özen_güler@gmail.com,0079
SELMA,ERASLAN,Türk Telekom,Yazılım Geliştirme,Ankara,24 Mayıs 1969,15390,5546853209,eraslanselma@hotmail.com,0080
TUĞSEM,ÜZER,Vodafone,Mali İşler,İstanbul,25 Şubat 1990,5512,5479205820,tuğsem.üzer@yahoo.com,0081
TESLİME,PİŞİRGEN,Sabit,Mali İşler,İstanbul,01 Ağustos 1991,5249,2175801646,teslime.pişirgen@yandex.com,0082
GÜLÇİN,ADANIR,Türkcell,Yazılım Geliştirme,Ankara,13 Mayıs 1992,7404,5323960024,adanir.gülçin@gmail.com,0083
İSMAİL,KOÇ,Vodafone,İnsan Kaynakları,İstanbul,27 Temmuz 1988,9063,5483885529,koç.ismail@hotmail.com,0084
MURAT,KORKMAZ,Sabit,Mali İşler,Ankara,13 Ekim 1985,7720,3122056110,muratkorkmaz@hotmail.com,0085
EBRU,YENİDOĞAN,Vodafone,Mali İşler,Ankara,13 Temmuz 1995,3139,5412773763,yenidoğan.ebru@yandex.com,0086
TÜMAY,AYDOĞAN,Vodafone,Yazılım Geliştirme,Ankara,30 Eylül 1972,13903,5489904405,aydoğan.tümay@yahoo.com,0087
AHMET,ACARBULUT,Türk Telekom,Yazılım Geliştirme,İstanbul,15 Haziran 1978,13728,5563882431,acarbulutahmet@hotmail.com,0088
EBRU,ERGE,Vodafone,Mali İşler,İstanbul,04 Eylül 1984,6235,5457673794,erge.ebru@hotmail.com,0089
HÜSEYİN,ERDOĞAN,Türk Telekom,İnsan Kaynakları,İstanbul,20 Eylül 1980,7435,5078514594,hüseyin_erdoğan@yandex.com,0090
BAŞAK,ÖĞÜT,Türkcell,Yazılım Geliştirme,Ankara,05 Şubat 1984,6785,5367565310,başak.öğüt@yandex.com,0091
AYŞEGÜL,KUŞKU,Sabit,Yazılım Geliştirme,İstanbul,16 Temmuz 1972,13823,2121823405,ayşegül.kuşku@yandex.com,0092
EVRİM,KUCUR,Sabit,Yazılım Geliştirme,Bursa,28 Ocak 1990,7474,2254146322,kucurevrim@yandex.com,0093
YASER,PEKTAŞ,Vodafone,Yazılım Geliştirme,İstanbul,31 Ağustos 1982,7438,5466608704,pektaşyaser@hotmail.com,0094
ÜLKÜ,KAYACAN,Sabit,Müşteri İlişkileri ve Satış,İstanbul,24 Eylül 1990,5634,2125552745,ülkü.kayacan@yandex.com,0095
ÖZHAN,GÜLEN,Vodafone,İnsan Kaynakları,Ankara,09 Ocak 1984,8823,5452054945,gülen_özhan@yandex.com,0096
UFUK,DOĞAN,Türkcell,Müşteri İlişkileri ve Satış,İstanbul,04 Şubat 1990,3587,5335689455,ufuk.doğan@yandex.com,0097
AKSEL,AYDIN,Türk Telekom,Yazılım Geliştirme,İstanbul,25 Aralık 1988,6244,5548666549,akselaydin@hotmail.com,0098
FULYA,GÜLEN,Türk Telekom,Müşteri İlişkileri ve Satış,İstanbul,30 Temmuz 1995,4901,5528061237,fulya.gülen@gmail.com,0099
BURCU,CANDAN,Türkcell,Yazılım Geliştirme,İstanbul,16 Mayıs 1985,7973,5365419472,burcu.candan@yahoo.com,0100
TAYLAN,TEMEL,Türkcell,Yazılım Geliştirme,Kocaeli,19 Ocak 1993,7208,5336789915,taylan.temel@yahoo.com,0101
YILMAZ,YENİGÜN,Sabit,Yazılım Geliştirme,Ankara,09 Haziran 1984,8826,3125760562,yenigünyilmaz@yandex.com,0102
ZEYNEP,YILDIRIM,Türk Telekom,Yazılım Geliştirme,Ankara,28 Nisan 1981,7512,5548633596,yildirimzeynep@gmail.com,0103
BAYRAM,BEDER,Türk Telekom,Yazılım Geliştirme,İstanbul,06 Ocak 1984,9236,5547185567,bederbayram@gmail.com,0104
GÜLAY,AKINCI,Türk Telekom,Yönetim,Bursa,20 Ağustos 1983,13364,5553624745,gülay.akinci@hotmail.com,0105
RABİA,ÖZDEMİR,Türk Telekom,Yazılım Geliştirme,Kocaeli,29 Nisan 1993,4167,5554883603,özdemirrabia@hotmail.com,0106
SEVDA,ONUK,Vodafone,Yazılım Geliştirme,İstanbul,12 Nisan 1979,11764,5411195309,sevda.onuk@hotmail.com,0107
SERHAT,AYDOĞAN,Türkcell,Yazılım Geliştirme,İstanbul,27 Ekim 1979,10364,5343814485,serhataydoğan@hotmail.com,0108
ENGİN,YILMAZ,Türk Telekom,Yazılım Geliştirme,İstanbul,11 Nisan 1975,11459,5555022007,engin.yilmaz@hotmail.com,0109
ASLI,AKCAN,Türk Telekom,Yazılım Geliştirme,Kocaeli,16 Haziran 1980,7243,5533759579,akcanasli@yandex.com,0110
TUBA,SARAÇOĞLU,Vodafone,Yazılım Geliştirme,İstanbul,27 Ocak 1991,4190,5468545805,saraçoğlutuba@yahoo.com,0111
BARIŞ,CÖMERT,Türk Telekom,Yazılım Geliştirme,Ankara,26 Temmuz 1990,6685,5051459789,bariş.cömert@gmail.com,0112
SEVGİ,TOPAL,Sabit,İnsan Kaynakları,İstanbul,13 Temmuz 1993,5339,2132475603,sevgi.topal@gmail.com,0113
KALENDER,KARAHAN,Türk Telekom,Müşteri İlişkileri ve Satış,Kocaeli,02 Temmuz 1974,13536,5518840102,karahan.kalender@hotmail.com,0114
HALİL,ŞAHİN,Vodafone,Yazılım Geliştirme,İstanbul,24 Şubat 1991,7520,5441023000,şahin.halil@hotmail.com,0115
BİLGE,ÇETİN,Türk Telekom,Yazılım Geliştirme,İstanbul,09 Haziran 1976,14874,5067402334,bilge.çetin@yandex.com,0116
FERDA,YILMAZ,Vodafone,Yazılım Geliştirme,İstanbul,23 Aralık 1983,9709,5412871147,yilmazferda@hotmail.com,0117
EZGİ,AYTAÇ,Türkcell,Mali İşler,İstanbul,27 Aralık 1977,10391,5334370892,aytaç.ezgi@gmail.com,0118
AYSUN,YILDIZ,Türk Telekom,Mali İşler,Ankara,05 Temmuz 1997,3684,5563585989,yildizaysun@hotmail.com,0119
SEDA,KİŞİ,Vodafone,Müşteri İlişkileri ve Satış,Ankara,11 Haziran 1991,3027,5419597926,sedakişi@yandex.com,0120
ÖZLEM,GÜNDÜZ,Vodafone,Yazılım Geliştirme,Ankara,12 Eylül 1997,4116,5461515647,özlemgündüz@hotmail.com,0121
ÖZDEN,ÖZKURT,Türk Telekom,Yazılım Geliştirme,Ankara,21 Temmuz 1984,5121,5069786877,özden_özkurt@hotmail.com,0122
KORAY,AK,Türk Telekom,Yazılım Geliştirme,Kocaeli,11 Ağustos 1987,7262,5055923735,akkoray@hotmail.com,0123
SENEM,URFALI,Sabit,İnsan Kaynakları,İstanbul,03 Kasım 1990,5773,2134520361,urfali.senem@yahoo.com,0124
ZEYNEP,KARAMAN,Vodafone,Yazılım Geliştirme,İstanbul,14 Temmuz 1980,11546,5441738090,karaman.zeynep@hotmail.com,0125
EMEL,MEMETOĞLU,Türkcell,Mali İşler,İstanbul,22 Nisan 1988,5501,5323396178,memetoğlu.emel@hotmail.com,0126
BATURAY,KAZBEK,Türk Telekom,Yazılım Geliştirme,İstanbul,15 Şubat 1983,7126,5569193237,kazbekbaturay@hotmail.com,0127
NURAY,KİREÇÇİ,Sabit,Yazılım Geliştirme,Ankara,16 Haziran 1985,7226,3121661819,nuraykireççi@outlook.com,0128
AYDOĞAN,AKIN,Türk Telekom,Yönetim,Ankara,29 Ekim 1982,11817,5527148713,aydoğanakin@gmail.com,0129
ÖZLEM,YADİGAROĞLU,Türk Telekom,Müşteri İlişkileri ve Satış,Ankara,15 Kasım 1983,8940,5518190220,özlem.yadigaroğlu@gmail.com,0130
DENİZ,YÜKSEL,Türk Telekom,Müşteri İlişkileri ve Satış,Ankara,30 Ocak 1991,3793,5076013200,deniz_yüksel@yahoo.com,0131
İLKNUR,ÖZÇELİK,Vodafone,Yazılım Geliştirme,İstanbul,15 Temmuz 1974,14034,5447685888,ilknurözçelik@yandex.com,0132
TEVFİK,BABUŞ,Türk Telekom,Yazılım Geliştirme,Kocaeli,05 Mart 1992,7387,5531887917,tevfik_babuş@yahoo.com,0133
HASAN,KAPLAN,Türk Telekom,Yazılım Geliştirme,İstanbul,05 Kasım 1996,3207,5069525029,kaplan.hasan@hotmail.com,0134
KÜRŞAT,AKÖZ,Vodafone,Müşteri İlişkileri ve Satış,İstanbul,16 Haziran 1988,6342,5413325105,aközkürşat@gmail.com,0135
SEYFİ,KARTAL,Türk Telekom,Mali İşler,Ankara,14 Ekim 1981,10791,5529036157,kartalseyfi@hotmail.com,0136
ŞEYMA,BİLGİÇ,Türk Telekom,Yazılım Geliştirme,Ankara,25 Kasım 1984,6815,5556954467,bilgiç.şeyma@yahoo.com,0137
ÖZLEM,ERDEN,Sabit,Yazılım Geliştirme,Ankara,09 Şubat 1993,7679,3135093934,erden.özlem@hotmail.com,0138
ERSAGUN,TUĞCUGİL,Türk Telekom,Mali İşler,Ankara,08 Mart 1985,6418,5538907775,tuğcugilersagun@gmail.com,0139
DİLBER,KUMRAL,Vodafone,Mali İşler,Ankara,16 Mart 1991,4518,5462285691,dilber.kumral@yandex.com,0140
MESUT,ERBAŞ,Türk Telekom,Yazılım Geliştirme,Kocaeli,05 Eylül 1991,6689,5532550328,erbaşmesut@yahoo.com,0141
ELİF,ORAL,Türkcell,Yazılım Geliştirme,İstanbul,07 Şubat 1978,11592,5336412461,oralelif@hotmail.com,0142
MUHAMMET,KILAÇ,Türk Telekom,Yazılım Geliştirme,İstanbul,07 Nisan 1978,14772,5511214742,kilaç.muhammet@hotmail.com,0143
ÖZGÜR,CENGİZ,Sabit,Yazılım Geliştirme,Ankara,20 Ağustos 1991,5196,3138164487,özgür_cengiz@hotmail.com,0144
MEHMET,YILDIRIM,Türk Telekom,Mali İşler,İstanbul,13 Haziran 1992,4563,5568517203,yildirimmehmet@yahoo.com,0145
MAHPERİ,KUTLUCAN,Türk Telekom,Yazılım Geliştirme,İstanbul,18 Temmuz 1984,5819,5535570447,kutlucanmahperi@hotmail.com,0146
ONUR,BALABAN,Türkcell,Müşteri İlişkileri ve Satış,Kocaeli,28 Ağustos 1978,13900,5374045930,balaban.onur@gmail.com,0147
İBRAHİM,KAYA,Türkcell,Yazılım Geliştirme,İstanbul,11 Ocak 1987,8275,5335387475,ibrahim.kaya@hotmail.com,0148
FATİH,BALCI,Türkcell,Yazılım Geliştirme,Ankara,17 Ağustos 1988,6757,5384728211,fatihbalci@yandex.com,0149
SEVİL,TÜFEKÇİ,Türk Telekom,Yazılım Geliştirme,İstanbul,20 Ekim 1989,6020,5552804559,tüfekçisevil@yandex.com,0150
SÜHEYLA,ATAY,Vodafone,Yazılım Geliştirme,Bursa,19 Şubat 1994,5444,5479280572,süheyla.atay@yahoo.com,0151
VOLKAN,YARAR,Sabit,Müşteri İlişkileri ve Satış,Kocaeli,15 Mart 1992,4438,2627568623,yararvolkan@outlook.com,0152
İLKAY,SEVER,Türk Telekom,İnsan Kaynakları,İstanbul,01 Aralık 1993,4986,5543246028,ilkay.sever@yahoo.com,0153
İLKNUR,YILDIRIM,Türkcell,Yazılım Geliştirme,Bursa,12 Ağustos 1980,11371,5312084006,yildirim.ilknur@outlook.com,0154
ZÜMRÜT,ARSLAN,Sabit,Yazılım Geliştirme,Kocaeli,19 Temmuz 1977,14691,2639565898,arslanzümrüt@hotmail.com,0155
HALE,ARKAN,Türk Telekom,İnsan Kaynakları,İstanbul,13 Aralık 1981,8049,5559420986,arkanhale@gmail.com,0156
YENER,TUTAŞ,Vodafone,Yazılım Geliştirme,İstanbul,07 Mart 1991,5150,5487217907,yener.tutaş@gmail.com,0157
SEDEF,ÖZTÜRK,Türk Telekom,Müşteri İlişkileri ve Satış,Ankara,26 Eylül 1983,8610,5528747598,sedeföztürk@outlook.com,0158
FADIL,HAVAS,Sabit,Yazılım Geliştirme,Kocaeli,22 Mart 1987,6989,2625757373,fadilhavas@hotmail.com,0159
SERPİL,SEÇİR,Vodafone,İnsan Kaynakları,Kocaeli,17 Mart 1975,14957,5421512527,serpil.seçir@gmail.com,0160
ZÜLFİYE,YILDIZ,Türk Telekom,Müşteri İlişkileri ve Satış,Kocaeli,20 Temmuz 1985,4146,5061953168,zülfiyeyildiz@hotmail.com,0161
SULTAN,SOYKAMER,Türk Telekom,Yazılım Geliştirme,Ankara,30 Eylül 1973,19322,5079737251,soykamersultan@gmail.com,0162
MUAMMER,BEKTAŞ,Türkcell,Mali İşler,Ankara,17 Nisan 1975,9218,5314117161,muammer.bektaş@yandex.com,0163
DERVİŞ,BERK,Vodafone,Mali İşler,İstanbul,31 Temmuz 1993,5333,5467071512,dervişberk@yandex.com,0164
YAŞAR,GÜL,Türkcell,Müşteri İlişkileri ve Satış,Ankara,30 Temmuz 1975,13438,5399250110,gül.yaşar@outlook.com,0165
TUBA,GEDİK,Türk Telekom,Yazılım Geliştirme,Ankara,02 Şubat 1987,5932,5058005105,tuba.gedik@yandex.com,0166
MEHRİ,CENGİZ,Türk Telekom,İnsan Kaynakları,İstanbul,14 Ocak 1987,6262,5533531669,mehri.cengiz@yandex.com,0167
MUSTAFA,ÇOLAK,Türk Telekom,Yazılım Geliştirme,İstanbul,10 Temmuz 1986,7626,5555706798,mustafa.çolak@yahoo.com,0168
SERDAR,BULUT,Vodafone,Yazılım Geliştirme,Bursa,13 Mayıs 1979,10791,5487453809,serdarbulut@yandex.com,0169
MUSTAFA,SARI,Vodafone,Mali İşler,İstanbul,22 Ağustos 1995,4841,5451662781,mustafa.sari@yandex.com,0170
ONAT,AKYOL,Vodafone,Müşteri İlişkileri ve Satış,Ankara,02 Eylül 1990,5554,5468748361,onatakyol@hotmail.com,0171
ŞÜKRÜ,BAĞCIK,Türk Telekom,Yazılım Geliştirme,İstanbul,17 Ekim 1980,7050,5531610861,bağcikşükrü@hotmail.com,0172
OLCAY,KUTLUYURDU,Vodafone,Yazılım Geliştirme,Bursa,08 Aralık 1984,5347,5466174477,olcay.kutluyurdu@gmail.com,0173
SERDAR,DEMİRGAN,Türk Telekom,Müşteri İlişkileri ve Satış,İstanbul,22 Mart 1977,10915,5513799592,demirgan.serdar@hotmail.com,0174
YILDIZ,YİĞİT,Vodafone,Yazılım Geliştirme,Kocaeli,11 Mayıs 1984,7020,5486082531,yiğityildiz@hotmail.com,0175
AYDIN,GERİLMEZ,Türk Telekom,Yazılım Geliştirme,İstanbul,27 Ekim 1985,6541,5562315277,aydingerilmez@yandex.com,0176
ALİ,DÜZKALIR,Sabit,Müşteri İlişkileri ve Satış,Ankara,09 Kasım 1980,6523,3135659756,alidüzkalir@gmail.com,0177
NİHAT,KÖKSOY,Türk Telekom,Müşteri İlişkileri ve Satış,İstanbul,19 Ağustos 1993,3975,5559624961,nihatköksoy@outlook.com,0178
İSMAİL,GÜLŞEN,Türk Telekom,Yazılım Geliştirme,İstanbul,30 Ağustos 1981,11698,5565035593,ismailgülşen@hotmail.com,0179
AYKAN,AKAR,Vodafone,Yazılım Geliştirme,Ankara,27 Kasım 1987,7169,5448221504,akaraykan@hotmail.com,0180
SELÇUK,ÖZDOĞAN,Türk Telekom,Yazılım Geliştirme,İstanbul,20 Eylül 1982,11519,5538925154,selçuk_özdoğan@hotmail.com,0181
MEHMET,TÖNGE,Türkcell,Yazılım Geliştirme,Bursa,26 Nisan 1986,6365,5361359261,töngemehmet@hotmail.com,0182
NEZİH,YASA,Vodafone,Müşteri İlişkileri ve Satış,Kocaeli,18 Nisan 1995,4765,5463599269,nezihyasa@yahoo.com,0183
MUSTAFA,ÖNVERMEZ,Türk Telekom,İnsan Kaynakları,Ankara,29 Ocak 1989,6383,5566076667,mustafaönvermez@yandex.com,0184
TİMUR,YILDIRIM,Vodafone,Mali İşler,İstanbul,18 Eylül 1982,7104,5469207199,timur_yildirim@yandex.com,0185
ERHAN,BİÇER,Türk Telekom,Yazılım Geliştirme,İstanbul,06 Mart 1994,3450,5569729008,erhan.biçer@yandex.com,0186
